Data Table for Daily Death Trends - The United States
Date generated: Thu Mar 17 2022 16:15:46 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Mar 27 2021,856,895,0
United States,Mar 26 2021,1060,876,0
United States,Mar 25 2021,989,894,0
United States,Mar 24 2021,1122,873,0
United States,Mar 23 2021,753,863,0
United States,Mar 22 2021,942,879,0
United States,Mar 21 2021,549,844,0
United States,Mar 20 2021,722,861,0
United States,Mar 19 2021,1186,897,0
United States,Mar 18 2021,839,911,0
United States,Mar 17 2021,1056,980,0
United States,Mar 16 2021,863,1055,0
United States,Mar 15 2021,699,1078,0
United States,Mar 14 2021,662,1095,0
United States,Mar 13 2021,976,1131,0
United States,Mar 12 2021,1286,1173,165
United States,Mar 11 2021,1324,1269,0
United States,Mar 10 2021,1580,1302,0
United States,Mar  9 2021,1019,1299,138
United States,Mar  8 2021,821,1348,0
United States,Mar  7 2021,913,1410,0
United States,Mar  6 2021,1272,1435,0
United States,Mar  5 2021,1956,1484,0
United States,Mar  4 2021,1559,1481,0
United States,Mar  3 2021,1558,1677,0
United States,Mar  2 2021,1357,1742,0
United States,Mar  1 2021,1258,1792,0
United States,Feb 28 2021,1089,1830,0
United States,Feb 27 2021,1613,1895,0
United States,Feb 26 2021,1934,1935,0
United States,Feb 25 2021,2936,2009,0
United States,Feb 24 2021,2007,1912,0
United States,Feb 23 2021,1709,1939,0
United States,Feb 22 2021,1523,1899,0
United States,Feb 21 2021,1545,1881,0
United States,Feb 20 2021,1895,1883,0
United States,Feb 19 2021,2450,1913,0
United States,Feb 18 2021,2260,1924,0
United States,Feb 17 2021,2192,2065,0
United States,Feb 16 2021,1431,2155,0
United States,Feb 15 2021,1399,2299,0
United States,Feb 14 2021,1554,2342,0
United States,Feb 13 2021,2108,2378,1204
United States,Feb 12 2021,2525,2473,2559
United States,Feb 11 2021,3246,2601,0
United States,Feb 10 2021,2828,2584,0
United States,Feb  9 2021,2439,2654,0
United States,Feb  8 2021,1697,2729,0
United States,Feb  7 2021,1809,2812,0
United States,Feb  6 2021,2773,2881,0
United States,Feb  5 2021,3418,2881,0
United States,Feb  4 2021,3130,2860,0
United States,Feb  3 2021,3316,2965,0
United States,Feb  2 2021,2966,3060,0
United States,Feb  1 2021,2278,3145,0
United States,Jan 31 2021,2292,3123,0
United States,Jan 30 2021,2770,3150,0
United States,Jan 29 2021,3269,3181,0
United States,Jan 28 2021,3865,3241,0
United States,Jan 27 2021,3981,3237,0
United States,Jan 26 2021,3560,3220,0
United States,Jan 25 2021,2129,3105,0
United States,Jan 24 2021,2482,3127,0
United States,Jan 23 2021,2987,3141,0
United States,Jan 22 2021,3687,3218,0
United States,Jan 21 2021,3838,3178,0
United States,Jan 20 2021,3858,3159,0
United States,Jan 19 2021,2757,3190,0
United States,Jan 18 2021,2286,3310,0
United States,Jan 17 2021,2576,3358,0
United States,Jan 16 2021,3526,3356,0
United States,Jan 15 2021,3407,3329,0
United States,Jan 14 2021,3708,3381,0
United States,Jan 13 2021,4070,3420,0
United States,Jan 12 2021,3602,3391,0
United States,Jan 11 2021,2620,3375,0
United States,Jan 10 2021,2563,3299,0
United States,Jan  9 2021,3336,3225,0
United States,Jan  8 2021,3772,3087,0
United States,Jan  7 2021,3981,2980,0
United States,Jan  6 2021,3864,2951,0
United States,Jan  5 2021,3490,2937,0
United States,Jan  4 2021,2092,2919,0
United States,Jan  3 2021,2046,2940,0
United States,Jan  2 2021,2369,2919,0
United States,Jan  1 2021,3023,2816,0
United States,Dec 31 2020,3774,2701,0
United States,Dec 30 2020,3770,2595,0
United States,Dec 29 2020,3360,2515,0
United States,Dec 28 2020,2240,2451,0
United States,Dec 27 2020,1897,2443,0
United States,Dec 26 2020,1649,2471,0
United States,Dec 25 2020,2221,2619,0
United States,Dec 24 2020,3032,2727,0
United States,Dec 23 2020,3208,2772,0
United States,Dec 22 2020,2910,2798,0
United States,Dec 21 2020,2188,2778,0
United States,Dec 20 2020,2091,2753,0
United States,Dec 19 2020,2685,2747,0
United States,Dec 18 2020,2976,2706,0
United States,Dec 17 2020,3347,2739,0
United States,Dec 16 2020,3395,2645,0
United States,Dec 15 2020,2765,2642,0
United States,Dec 14 2020,2018,2611,0
United States,Dec 13 2020,2046,2611,0
United States,Dec 12 2020,2400,2548,0
United States,Dec 11 2020,3203,2539,0
United States,Dec 10 2020,2692,2457,0
United States,Dec  9 2020,3370,2462,0
United States,Dec  8 2020,2549,2378,0
United States,Dec  7 2020,2017,2355,0
United States,Dec  6 2020,1608,2295,0
United States,Dec  5 2020,2339,2250,0
United States,Dec  4 2020,2630,2130,0
United States,Dec  3 2020,2723,1993,0
United States,Dec  2 2020,2784,1843,0
United States,Dec  1 2020,2384,1774,0
United States,Nov 30 2020,1600,1703,0
United States,Nov 29 2020,1291,1683,0
United States,Nov 28 2020,1501,1688,0
United States,Nov 27 2020,1671,1715,0
United States,Nov 26 2020,1670,1761,0
United States,Nov 25 2020,2304,1796,0
United States,Nov 24 2020,1886,1732,0
United States,Nov 23 2020,1463,1690,0
United States,Nov 22 2020,1321,1633,0
United States,Nov 21 2020,1694,1592,0
United States,Nov 20 2020,1993,1559,0
United States,Nov 19 2020,1914,1456,0
United States,Nov 18 2020,1858,1378,0
United States,Nov 17 2020,1590,1329,0
United States,Nov 16 2020,1064,1277,0
United States,Nov 15 2020,1037,1261,0
United States,Nov 14 2020,1457,1241,0
United States,Nov 13 2020,1275,1186,0
United States,Nov 12 2020,1367,1189,0
United States,Nov 11 2020,1518,1168,0
United States,Nov 10 2020,1226,1138,466
United States,Nov  9 2020,952,1111,0
United States,Nov  8 2020,894,1082,0
United States,Nov  7 2020,1073,1056,0
United States,Nov  6 2020,1299,1036,0
United States,Nov  5 2020,1217,984,0
United States,Nov  4 2020,1308,968,0
United States,Nov  3 2020,1035,934,0
United States,Nov  2 2020,751,914,0
United States,Nov  1 2020,714,907,0
United States,Oct 31 2020,933,892,0
United States,Oct 30 2020,932,872,0
United States,Oct 29 2020,1103,874,0
United States,Oct 28 2020,1072,850,0
United States,Oct 27 2020,894,846,0
United States,Oct 26 2020,701,833,0
United States,Oct 25 2020,611,821,0
United States,Oct 24 2020,795,841,0
United States,Oct 23 2020,947,825,0
United States,Oct 22 2020,933,816,0
United States,Oct 21 2020,1044,785,0
United States,Oct 20 2020,801,754,0
United States,Oct 19 2020,621,733,0
United States,Oct 18 2020,746,717,0
United States,Oct 17 2020,689,693,0
United States,Oct 16 2020,879,691,0
United States,Oct 15 2020,715,678,0
United States,Oct 14 2020,829,681,0
United States,Oct 13 2020,655,677,0
United States,Oct 12 2020,508,675,0
United States,Oct 11 2020,579,678,0
United States,Oct 10 2020,675,682,0
United States,Oct  9 2020,790,663,0
United States,Oct  8 2020,732,681,0
United States,Oct  7 2020,805,684,0
United States,Oct  6 2020,641,667,0
United States,Oct  5 2020,529,690,0
United States,Oct  4 2020,606,675,0
United States,Oct  3 2020,544,660,0
United States,Oct  2 2020,912,679,0
United States,Oct  1 2020,752,658,0
United States,Sep 30 2020,689,657,0
United States,Sep 29 2020,804,689,0
United States,Sep 28 2020,422,668,0
United States,Sep 27 2020,502,690,0
United States,Sep 26 2020,672,686,0
United States,Sep 25 2020,769,684,0
United States,Sep 24 2020,747,692,0
